,Zygote,2-cell,4-cell,8-cell,Morula,Blastocyst
Eif4g1,0.821323203,0.604944144,0.652154159,0.743801691,1.118397045,2.059379759
Btf3l4;LOC100504125,0.790571213,0.73958902,0.763641177,0.757512728,0.945638176,2.003047688
Isy1,0.788879775,0.578359862,0.522684444,0.759246566,1.10846436,2.242364995
Mrpl40,0.645398072,0.704965823,0.768973324,0.754626585,0.896800122,2.229236075
Rpusd2,0.831160634,0.763780437,0.787533598,0.874369713,1.088737919,1.6544177
Rps25,0.601450957,0.495889474,0.541955233,0.710873583,1.20372865,2.446102105
Hnrnpa3,0.738551825,0.745614381,0.7709511,0.693524536,0.963533917,2.087824242
Dffa,0.712402151,0.665104853,0.7102306,0.951181327,1.013575567,1.947505505
Nup214,0.806466225,0.893130126,0.87373593,0.910256785,0.959179383,1.557231552
Farsb,0.821040071,0.903438382,0.915745657,0.911825204,1.021623142,1.426327545
Impa2,0.766353306,0.806783441,0.919528978,0.908008458,0.98509434,1.614231479
Hnrnpul2,0.911304388,0.782195009,0.871047081,0.896968221,0.981567486,1.556917817
Prep,0.395043421,0.524386452,0.406075901,0.455664033,0.876340038,3.342490156
Hspbap1,0.445264348,0.774844794,0.558808835,0.685092014,1.08620744,2.449782571
Pcbp1,0.826347065,0.729668074,0.703703177,0.76284204,0.971170396,2.00626925
Ap2a2,0.586455007,0.591278106,0.593575678,0.610220193,0.888049714,2.730421304
Mtap1s,0.465711477,0.451294539,0.756913669,0.833953879,0.963843238,2.528283199
